ID,pagemode,ipadd,veg,iDdOk,seconds
1339,filter.php,IP8,asparagus,TRUE,4
1346,filter.php,IP4,asparagus,TRUE,6
1347,filter.php,IP13,asparagus,TRUE,8
1348,filter.php,IP2,asparagus,TRUE,8
1349,filter.php,IP27,asparagus,TRUE,8
1353,filter.php,IP5,asparagus,TRUE,12
1354,filter.php,IP6,asparagus,TRUE,12
1369,filter.php,IP5,lettuce,TRUE,3
1377,filter.php,IP2,lettuce,TRUE,4
1381,filter.php,IP4,lettuce,TRUE,4
1382,filter.php,IP13,lettuce,TRUE,4
1384,filter.php,IP10,lettuce,TRUE,5
1385,filter.php,IP3,lettuce,TRUE,5
1389,filter.php,IP14,lettuce,TRUE,6
1390,filter.php,IP6,lettuce,TRUE,8
1393,filter.php,IP18,lettuce,TRUE,12
980,image.php,IP15,cucumber,TRUE,2
982,image.php,IP21,cucumber,TRUE,2
984,image.php,IP2,cucumber,TRUE,2
986,image.php,IP1,cucumber,TRUE,3
990,image.php,IP12,cucumber,TRUE,3
991,image.php,IP22,cucumber,TRUE,3
993,image.php,IP23,cucumber,TRUE,3
997,image.php,IP24,cucumber,TRUE,4
1004,image.php,IP2,cucumber,TRUE,7
1006,image.php,IP19,cucumber,TRUE,7
1009,image.php,IP4,cucumber,TRUE,8
1010,image.php,IP29,cucumber,TRUE,9
1011,image.php,IP30,cucumber,TRUE,11
1012,image.php,IP31,cucumber,TRUE,13
1013,image.php,IP25,cucumber,TRUE,14
1017,image.php,IP2,cucumber,TRUE,17
1020,image.php,IP12,pea,TRUE,1
1021,image.php,IP4,pea,TRUE,1
1023,image.php,IP15,pea,TRUE,2
1024,image.php,IP29,pea,TRUE,2
1025,image.php,IP23,pea,TRUE,2
1026,image.php,IP30,pea,TRUE,2
1027,image.php,IP19,pea,TRUE,2
1029,image.php,IP21,pea,TRUE,2
1030,image.php,IP2,pea,TRUE,2
1031,image.php,IP22,pea,TRUE,2
1032,image.php,IP25,pea,TRUE,2
1033,image.php,IP24,pea,TRUE,3
1039,image.php,IP31,pea,TRUE,3
1044,image.php,IP4,pea,TRUE,5
1045,image.php,IP2,pea,TRUE,6
1056,image.php,IP19,tomato,TRUE,2
1057,image.php,IP21,tomato,TRUE,2
1058,image.php,IP1,tomato,TRUE,2
1059,image.php,IP29,tomato,TRUE,3
1060,image.php,IP1,tomato,TRUE,3
1061,image.php,IP12,tomato,TRUE,3
1064,image.php,IP31,tomato,TRUE,3
1066,image.php,IP25,tomato,TRUE,3
1067,image.php,IP15,tomato,TRUE,3
1069,image.php,IP22,tomato,TRUE,4
1071,image.php,IP24,tomato,TRUE,4
1077,image.php,IP2,tomato,TRUE,4
1081,image.php,IP23,tomato,TRUE,5
1084,image.php,IP30,tomato,TRUE,5
1089,image.php,IP19,pepper,TRUE,1
1090,image.php,IP24,pepper,TRUE,1
1092,image.php,IP4,pepper,TRUE,2
1093,image.php,IP2,pepper,TRUE,2
1094,image.php,IP31,pepper,TRUE,2
1095,image.php,IP21,pepper,TRUE,2
1096,image.php,IP29,pepper,TRUE,2
1098,image.php,IP22,pepper,TRUE,2
1099,image.php,IP4,pepper,TRUE,2
1100,image.php,IP30,pepper,TRUE,2
1101,image.php,IP12,pepper,TRUE,2
1102,image.php,IP15,pepper,TRUE,2
1106,image.php,IP23,pepper,TRUE,3
1107,image.php,IP25,pepper,TRUE,3
1119,image.php,IP29,carrot,TRUE,2
1120,image.php,IP1,carrot,TRUE,2
1121,image.php,IP31,carrot,TRUE,2
1122,image.php,IP19,carrot,TRUE,2
1123,image.php,IP22,carrot,TRUE,2
1124,image.php,IP30,carrot,TRUE,2
1125,image.php,IP2,carrot,TRUE,2
1126,image.php,IP15,carrot,TRUE,2
1128,image.php,IP25,carrot,TRUE,2
1131,image.php,IP12,carrot,TRUE,2
1137,image.php,IP23,carrot,TRUE,3
1141,image.php,IP24,carrot,TRUE,3
1143,image.php,IP2,carrot,TRUE,3
1147,image.php,IP21,carrot,TRUE,3
1151,image.php,IP19,onion,TRUE,2
1152,image.php,IP31,onion,TRUE,2
1153,image.php,IP22,onion,TRUE,2
1154,image.php,IP4,onion,TRUE,2
1155,image.php,IP15,onion,TRUE,2
1156,image.php,IP1,onion,TRUE,2
1157,image.php,IP12,onion,TRUE,2
1158,image.php,IP21,onion,TRUE,2
1160,image.php,IP29,onion,TRUE,3
1162,image.php,IP4,onion,TRUE,3
1163,image.php,IP25,onion,TRUE,3
1167,image.php,IP23,onion,TRUE,3
1174,image.php,IP24,onion,TRUE,4
1180,image.php,IP30,onion,TRUE,5
1184,image.php,IP22,potato,TRUE,2
1186,image.php,IP19,potato,TRUE,2
1187,image.php,IP12,potato,TRUE,2
1188,image.php,IP31,potato,TRUE,3
1189,image.php,IP29,potato,TRUE,3
1190,image.php,IP2,potato,TRUE,3
1192,image.php,IP25,potato,TRUE,3
1193,image.php,IP4,potato,TRUE,3
1196,image.php,IP30,potato,TRUE,3
1198,image.php,IP24,potato,TRUE,3
1199,image.php,IP21,potato,TRUE,3
1203,image.php,IP15,potato,TRUE,3
1204,image.php,IP4,potato,TRUE,4
1213,image.php,IP23,potato,TRUE,5
1214,image.php,IP2,potato,TRUE,6
1217,image.php,IP19,broccoli,TRUE,2
1218,image.php,IP1,broccoli,TRUE,2
1219,image.php,IP31,broccoli,TRUE,2
1220,image.php,IP24,broccoli,TRUE,2
1221,image.php,IP23,broccoli,TRUE,2
1223,image.php,IP1,broccoli,TRUE,2
1226,image.php,IP29,broccoli,TRUE,2
1227,image.php,IP22,broccoli,TRUE,2
1229,image.php,IP21,broccoli,TRUE,2
1230,image.php,IP25,broccoli,TRUE,2
1239,image.php,IP12,broccoli,TRUE,3
1241,image.php,IP15,broccoli,TRUE,3
1247,image.php,IP30,broccoli,TRUE,4
1250,image.php,IP2,broccoli,TRUE,5
1256,image.php,IP29,spinach,TRUE,3
1260,image.php,IP12,spinach,TRUE,3
1261,image.php,IP1,spinach,TRUE,3
1262,image.php,IP21,spinach,TRUE,3
1263,image.php,IP2,spinach,TRUE,3
1264,image.php,IP30,spinach,TRUE,4
1268,image.php,IP15,spinach,TRUE,4
1273,image.php,IP25,spinach,TRUE,5
1274,image.php,IP22,spinach,TRUE,5
1276,image.php,IP1,spinach,TRUE,5
1278,image.php,IP31,spinach,TRUE,5
1280,image.php,IP24,spinach,TRUE,6
1283,image.php,IP23,spinach,TRUE,7
1284,image.php,IP1,spinach,TRUE,7
1288,image.php,IP19,spinach,TRUE,7
1294,image.php,IP12,cabbage,TRUE,2
1295,image.php,IP1,cabbage,TRUE,2
1296,image.php,IP30,cabbage,TRUE,2
1299,image.php,IP29,cabbage,TRUE,3
1300,image.php,IP23,cabbage,TRUE,3
1302,image.php,IP15,cabbage,TRUE,3
1306,image.php,IP19,cabbage,TRUE,4
1307,image.php,IP22,cabbage,TRUE,4
1308,image.php,IP21,cabbage,TRUE,4
1309,image.php,IP31,cabbage,TRUE,4
1312,image.php,IP24,cabbage,TRUE,4
1315,image.php,IP2,cabbage,TRUE,5
1317,image.php,IP1,cabbage,TRUE,6
1322,image.php,IP1,cabbage,TRUE,8
1326,image.php,IP21,asparagus,TRUE,2
1327,image.php,IP29,asparagus,TRUE,2
1328,image.php,IP22,asparagus,TRUE,2
1329,image.php,IP31,asparagus,TRUE,2
1331,image.php,IP1,asparagus,TRUE,2
1332,image.php,IP1,asparagus,TRUE,2
1334,image.php,IP4,asparagus,TRUE,3
1336,image.php,IP19,asparagus,TRUE,3
1337,image.php,IP23,asparagus,TRUE,4
1338,image.php,IP25,asparagus,TRUE,4
1340,image.php,IP15,asparagus,TRUE,4
1341,image.php,IP24,asparagus,TRUE,4
1342,image.php,IP12,asparagus,TRUE,4
1343,image.php,IP1,asparagus,TRUE,4
1344,image.php,IP30,asparagus,TRUE,4
1358,image.php,IP22,lettuce,TRUE,2
1359,image.php,IP15,lettuce,TRUE,2
1360,image.php,IP19,lettuce,TRUE,2
1361,image.php,IP4,lettuce,TRUE,2
1362,image.php,IP24,lettuce,TRUE,2
1363,image.php,IP21,lettuce,TRUE,2
1364,image.php,IP23,lettuce,TRUE,2
1367,image.php,IP4,lettuce,TRUE,2
1368,image.php,IP2,lettuce,TRUE,2
1370,image.php,IP12,lettuce,TRUE,3
1376,image.php,IP29,lettuce,TRUE,3
1378,image.php,IP30,lettuce,TRUE,4
1379,image.php,IP2,lettuce,TRUE,4
1383,image.php,IP25,lettuce,TRUE,5
